"","SRR13535277","SRR13535279","SRR13535281","SRR13535283","SRR13535285","SRR13535287","SRR13535289","SRR13535291","SRR13535293","SRR13535295","SRR13535297","SRR13535299","SRR13535301","SRR13535303","SRR13535305","SRR13535307","SRR13535309","SRR13535311"
"mmu-miR-3066-3p",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3066-5p",0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,86
"mmu-miR-3068-3p",16,151,19,86,97,12,47,175,26,128,5,12,0,1,9,24,51,204
"mmu-miR-3068-5p",0,6,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3069-3p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3074-1-3p",0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
"mmu-miR-3074-5p",0,3,4,3,3,0,3,0,0,0,0,1,0,0,0,0,0,0
"mmu-miR-3075-5p",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3076-3p",0,4,0,0,15,0,8,10,0,9,0,2,0,0,1,0,0,0
"mmu-miR-3077-3p",0,12,0,0,0,0,12,0,5,24,0,3,0,0,0,0,0,0
"mmu-miR-3079-3p",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3079-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,19,0
"mmu-miR-3081-3p",0,0,0,0,0,0,2,0,0,15,0,0,0,0,1,0,0,0
"mmu-miR-3082-3p",13,79,23,2,32,3,19,40,14,92,0,0,1,0,8,20,0,138
"mmu-miR-3082-5p",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3084-3p",5,11,0,0,4,0,12,0,0,57,0,3,0,0,0,22,0,0
"mmu-miR-3086-5p",0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,13,0,0
"mmu-miR-3087-5p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3089-3p",0,7,0,0,3,0,0,0,8,20,0,0,0,0,0,0,0,0
"mmu-miR-3091-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"mmu-miR-3091-5p",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3092-3p",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3095-5p",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"mmu-miR-3098-3p",0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3098-5p",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3099-3p",4,10,15,0,14,0,0,0,25,0,0,2,0,0,0,0,0,0
"mmu-miR-30a-3p",58,336,35,33,272,103,154,290,176,296,1,29,795,2,44,81,657,1288
"mmu-miR-30a-5p",3789,25837,6307,8041,13909,5954,12878,16417,10121,24808,1193,2740,4534,1628,2605,16297,23884,56970
"mmu-miR-30b-3p",0,6,0,0,0,13,17,26,4,0,0,0,187,0,4,22,57,0
"mmu-miR-30b-5p",197,1085,219,323,717,437,683,841,596,1446,36,98,204,2,39,313,205,376
"mmu-miR-30c-1-3p",5,16,6,9,8,8,18,51,15,66,2,6,0,0,8,26,0,309
"mmu-miR-30c-2-3p",4,132,12,27,62,44,32,80,76,126,1,9,221,0,6,34,51,323
"mmu-miR-30c-5p",510,3725,587,1536,1609,832,2103,2401,1700,2689,172,244,244,4,120,264,576,867
"mmu-miR-30d-3p",12,59,0,3,34,36,32,58,6,22,0,9,0,0,1,25,0,0
"mmu-miR-30d-5p",4571,26186,5875,8895,14988,6536,15948,19939,14674,24113,1400,3235,1504,640,1925,6966,7409,21054
"mmu-miR-30e-3p",28,297,63,28,162,70,131,222,75,181,3,27,557,0,39,67,577,1550
"mmu-miR-30e-5p",1345,8329,2314,3006,4073,1814,5149,5241,2439,6888,608,808,4,128,549,1237,966,3303
"mmu-miR-30f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"mmu-miR-31-3p",0,19,0,0,2,8,7,33,7,56,0,0,0,0,3,19,0,0
"mmu-miR-31-5p",1638,11858,1094,2187,8054,3220,7304,8588,7740,12513,353,725,1128,13,421,2672,4647,7222
"mmu-miR-3102-3p",17,139,43,66,48,26,110,203,17,155,2,42,0,0,20,7,72,1
"mmu-miR-3102-3p.2-3p",9,89,46,61,22,9,45,88,39,75,7,3,0,0,7,16,0,0
